img_id,all_correct_1,n_correct_1,n_atoms_1,ge2_gm,ge2_am,all_correct_2,n_correct_2,n_atoms_2,all_correct_3,n_correct_3,n_atoms_3
354,0,8,9,0.5276325447412895,0.8891280982783802,0,8,9,0,8,9
355,0,6,8,0.01338847173590616,0.7501127500970673,0,6,8,0,6,8
356,0,6,8,0.014707358484706947,0.6256508412019393,0,6,8,0,6,8
357,0,8,9,0.21104990523821268,0.8887842340238887,0,8,9,0,8,9
358,1,8,8,0.04495730374324965,0.5433558922843826,1,8,8,1,8,8
359,1,7,7,0.9999768707091973,0.9999768712013983,1,7,7,1,7,7
360,0,6,7,0.019035558328599503,0.8436509919109094,0,6,7,0,6,7
361,1,9,9,0.9995263111868293,0.999527122506283,1,9,9,1,9,9
362,0,6,7,0.8885369886852349,0.9195049936182874,0,6,7,0,6,7
363,0,3,6,0.0002957101726596837,0.49990141034920543,0,3,6,0,3,6
364,0,4,7,0.0020618206609404914,0.5379798393136093,0,4,7,0,4,7
365,0,5,7,0.00673765491453986,0.714243092650239,0,5,7,0,5,7
366,0,4,6,0.11813088750515106,0.8226567287486198,0,4,6,0,4,6
367,0,5,7,0.9891416899805082,0.989365488104986,0,5,7,0,5,7
368,0,6,9,0.05543375368892095,0.6196965710973907,0,6,9,0,6,9
369,0,6,7,0.01930545002184853,0.8570637568231128,0,6,7,0,6,7
370,0,3,6,0.003370879475997276,0.6631102229948523,0,3,6,0,3,6
371,0,5,7,0.001702118566832961,0.7142642930033579,0,5,7,0,5,7
372,0,5,8,0.014912426402280746,0.6248675628516692,0,5,8,0,5,8
373,0,6,7,0.6035646444602147,0.8612318674817975,1,7,7,0,6,7
374,0,8,9,0.6225517357622369,0.8903186763067237,0,8,9,0,8,9
375,0,3,6,0.0004680534058262663,0.4997397250976085,0,3,6,0,3,6
376,0,5,6,0.20504555111989975,0.6504787793198986,0,5,6,0,5,6
377,1,8,8,0.1053756120341588,0.7567046775673015,1,8,8,1,8,8
378,1,8,8,0.9998980835017085,0.9998980979742891,1,8,8,1,8,8
379,0,4,6,6.441526771477133e-05,0.4238841558686528,0,3,6,0,3,6
380,0,7,8,0.19082793109036617,0.8748679664369241,0,7,8,0,7,8
381,0,6,8,0.048236941008691456,0.6527559920474594,0,6,8,0,6,8
382,0,2,6,1.052577181500117e-07,0.3319976119785631,0,2,6,0,2,6
383,0,6,8,0.4680749878265767,0.7845464954636621,0,6,8,0,6,8
384,0,6,7,0.01905081383425674,0.8443860030679621,0,6,7,0,6,7
385,0,6,8,0.004849360186453517,0.7499802616264724,0,6,8,0,6,8
386,0,6,8,0.0708400655098472,0.743469084589727,0,6,8,0,6,8
387,0,5,8,0.06353599760587207,0.7305251616226878,0,5,8,0,4,8
388,0,4,8,0.00021894691360489513,0.3766790649200588,0,4,8,0,4,8
389,0,7,8,0.2902986710263408,0.872573438369974,0,7,8,0,7,8
390,0,5,8,0.01216372562990638,0.6016757619827588,0,5,8,0,5,8
391,0,6,7,0.18012476817160147,0.8404694844961138,0,6,7,0,6,7
392,0,4,6,0.00028934477307509935,0.5000055974707934,0,4,6,0,4,6
393,0,8,9,0.04641419123420243,0.888852327801707,0,8,9,0,8,9
394,0,4,8,0.00017300521685602167,0.5675959413361998,0,4,8,0,4,8
395,0,4,6,0.009780653670702747,0.6643645735415017,0,4,6,0,4,6
396,0,6,8,0.23842164843715752,0.7527464275228297,0,6,8,0,6,8
397,0,8,9,0.1996546751978386,0.8888346684061139,0,8,9,0,8,9
398,0,5,8,0.027725706370607325,0.7429362491074925,0,6,8,0,5,8
399,0,5,7,0.4134293008282264,0.8495902221431644,0,5,7,0,5,7
400,0,5,8,0.0008653947543894906,0.66266111258168,0,5,8,0,5,8
401,0,8,10,0.08732723733439579,0.7994403924761593,0,7,10,0,8,10
402,0,6,8,0.09911309775732863,0.7498084959430031,0,6,8,0,6,8
403,0,6,10,0.03377413074116342,0.5976372610477203,0,6,10,0,6,10
404,0,4,8,0.0012762202354887615,0.6042697618269544,0,4,8,0,5,8
405,0,6,8,0.0045548646796025145,0.625085876768071,0,6,8,0,6,8
406,0,3,7,0.0016831031592535683,0.5606000801371633,0,3,7,0,3,7
407,0,6,9,0.0017867321395080103,0.5852160340261453,0,6,9,0,6,9
408,0,8,9,0.5491741623221739,0.8878040195232568,0,8,9,0,8,9
409,0,4,7,0.004091294741487659,0.6991213843846411,0,4,7,0,4,7
410,0,5,8,0.002595598387850572,0.6250082457873127,0,5,8,0,5,8
411,0,7,8,0.16576451196662076,0.8746882688533578,0,7,8,0,7,8
412,0,7,8,0.021407023254538693,0.647338312488683,0,7,8,0,7,8
413,0,3,8,3.512683516683379e-05,0.4950636367021107,0,3,8,0,3,8
414,0,5,8,0.001677185399341163,0.6249920399715926,0,5,8,0,5,8
415,0,6,7,0.2074910024547218,0.855917784952948,0,6,7,0,6,7
416,0,5,9,0.001220393848953581,0.5553125249712455,0,5,9,0,5,9
417,0,3,7,1.9143558072908674e-06,0.425792237244669,0,3,7,0,3,7
418,0,6,9,0.007625506503331729,0.7637443769433858,0,6,9,0,6,9
419,0,6,8,0.005113816945550027,0.6571017233635448,0,6,8,0,6,8
420,0,5,8,8.207896404044153e-05,0.6249264908952115,0,5,8,0,5,8
421,0,4,7,0.038353871283885205,0.7119694736417914,0,4,7,0,4,7
422,0,4,7,0.0003933395468138794,0.5714070605531807,0,4,7,0,4,7
423,0,7,9,0.04040024446541941,0.7773262052171875,0,7,9,0,7,9
424,0,4,8,0.006216958581702698,0.5400817630828969,0,4,8,0,4,8
425,0,3,8,0.0004508617831912166,0.5001601594412193,0,3,8,0,3,8
426,0,4,7,4.2069394113714496e-05,0.5684194017502954,0,4,7,0,4,7
427,0,6,7,0.006663329688026795,0.5921463565194648,0,6,7,0,5,7
428,0,7,9,0.023165488449691893,0.7776684560694511,0,7,9,0,7,9
