source,class_id,alignment_norm,authenticity_norm,composite_product_classmean,composite_harmonic_classmean,vendi_ratio,vendi_ratio_train,composite_product_classmean_x_vendi_ratio,composite_product_classmean_x_vendi_ratio_train,composite_harmonic_classmean_x_vendi_ratio,composite_harmonic_classmean_x_vendi_ratio_train
User_DiT_1,585,0.37,0.36,0.18,0.25,1.32,0.98,0.24,0.18,0.34,0.25
User_DiT_1,590,0.83,0.6,0.51,0.69,0.98,0.81,0.5,0.42,0.67,0.56
User_DiT_1,605,0.54,0.4,0.28,0.41,5.26,1.16,1.46,0.32,2.14,0.47
User_DiT_1,606,0.57,0.56,0.34,0.46,0.91,0.72,0.31,0.24,0.42,0.33
User_DiT_1,626,0.66,0.56,0.39,0.57,3.23,1.04,1.26,0.41,1.83,0.59
User_DiT_1,632,0.75,0.48,0.36,0.55,1.02,0.96,0.37,0.35,0.56,0.53
User_DiT_1,633,0.81,0.64,0.51,0.67,1.15,1.14,0.59,0.58,0.78,0.76
User_DiT_1,634,0.21,0.56,0.12,0.22,0.51,0.84,0.06,0.1,0.11,0.18
User_DiT_1,645,0.91,0.52,0.47,0.65,0.45,0.74,0.21,0.35,0.29,0.48
User_DiT_1,654,0.75,0.6,0.46,0.57,1.0,0.83,0.46,0.38,0.57,0.47
User_DiT_1,679,0.49,0.56,0.28,0.49,0.57,0.68,0.16,0.19,0.28,0.33
User_DiT_1,687,1.0,0.92,0.92,0.96,0.29,0.67,0.26,0.62,0.27,0.64
User_DiT_1,730,0.84,0.6,0.52,0.68,1.31,0.98,0.69,0.51,0.89,0.66
User_DiT_1,743,0.53,0.64,0.41,0.48,1.05,0.79,0.43,0.33,0.5,0.38
User_DiT_1,746,0.53,0.4,0.22,0.4,0.55,1.05,0.12,0.24,0.22,0.42
User_DiT_1,755,0.68,0.72,0.57,0.67,0.22,0.9,0.13,0.52,0.15,0.6
User_DiT_1,756,0.85,0.56,0.47,0.66,1.59,0.54,0.75,0.25,1.05,0.36
User_DiT_1,806,1.0,0.92,0.92,0.96,0.95,0.93,0.88,0.86,0.91,0.89
User_DiT_1,810,0.72,0.64,0.47,0.67,0.36,0.87,0.17,0.41,0.24,0.58
User_DiT_1,819,0.78,0.52,0.42,0.6,0.4,0.77,0.17,0.33,0.24,0.46
User_DiT_1,836,0.12,0.44,0.06,0.15,0.83,0.55,0.05,0.03,0.13,0.08
User_DiT_1,903,0.66,0.76,0.5,0.62,1.01,0.69,0.5,0.34,0.62,0.43
User_DiT_1,917,0.65,0.4,0.26,0.42,0.72,0.59,0.19,0.15,0.3,0.24
User_DiT_1,919,0.42,0.24,0.1,0.29,1.4,0.78,0.14,0.08,0.41,0.23
User_DiT_1,920,0.78,0.56,0.44,0.63,0.66,0.83,0.29,0.36,0.42,0.52
User_DiT_1,922,0.34,0.2,0.07,0.21,0.44,0.73,0.03,0.05,0.09,0.15
User_DiT_1,928,0.71,0.68,0.48,0.6,2.49,0.83,1.2,0.4,1.49,0.5
User_DiT_1,931,0.88,0.68,0.6,0.73,0.71,0.96,0.42,0.57,0.52,0.7
