source,class_id,alignment_norm,artifact_norm,composite_product,composite_harmonic
Sys_IMF_ref_3,339,0.69,0.52,0.38,0.57
Sys_IMF_ref_3,347,0.83,0.41,0.38,0.52
Sys_IMF_ref_3,356,0.81,0.46,0.4,0.57
Sys_IMF_ref_3,365,0.89,0.41,0.37,0.55
Sys_IMF_ref_3,370,0.86,0.39,0.34,0.52
Sys_IMF_ref_3,389,0.28,0.34,0.1,0.31
Sys_IMF_ref_3,392,0.84,0.57,0.49,0.67
Sys_IMF_ref_3,394,0.76,0.57,0.45,0.65
Sys_IMF_ref_3,396,0.9,0.72,0.66,0.8
Sys_IMF_ref_3,400,0.65,0.5,0.39,0.55
Sys_IMF_ref_3,405,0.58,0.46,0.27,0.51
Sys_IMF_ref_3,406,0.94,0.72,0.68,0.81
Sys_IMF_ref_3,413,0.61,0.4,0.27,0.47
Sys_IMF_ref_3,415,0.83,0.5,0.41,0.61
Sys_IMF_ref_3,419,0.61,0.44,0.35,0.48
Sys_IMF_ref_3,421,0.35,0.5,0.18,0.39
Sys_IMF_ref_3,426,0.57,0.32,0.19,0.41
Sys_IMF_ref_3,429,0.59,0.39,0.27,0.43
Sys_IMF_ref_3,432,0.79,0.52,0.45,0.61
Sys_IMF_ref_3,443,0.82,0.52,0.46,0.62
Sys_IMF_ref_3,446,0.69,0.45,0.31,0.51
Sys_IMF_ref_3,453,0.61,0.4,0.29,0.48
Sys_IMF_ref_3,461,0.95,0.71,0.68,0.81
Sys_IMF_ref_3,477,0.53,0.42,0.22,0.45
Sys_IMF_ref_3,479,0.85,0.6,0.52,0.69
Sys_IMF_ref_3,481,0.93,0.64,0.6,0.76
Sys_IMF_ref_3,488,0.91,0.78,0.72,0.83
Sys_IMF_ref_3,499,0.43,0.27,0.13,0.26
Sys_IMF_ref_3,529,0.75,0.65,0.52,0.69
Sys_IMF_ref_3,535,0.81,0.71,0.57,0.75
Sys_IMF_ref_3,554,0.86,0.61,0.54,0.7
Sys_IMF_ref_3,567,0.83,0.64,0.57,0.71
Sys_IMF_ref_3,575,0.82,0.41,0.35,0.53
Sys_IMF_ref_3,585,0.59,0.33,0.19,0.4
Sys_IMF_ref_3,590,0.59,0.4,0.25,0.47
Sys_IMF_ref_3,605,0.37,0.33,0.15,0.33
Sys_IMF_ref_3,606,0.54,0.5,0.3,0.47
Sys_IMF_ref_3,626,0.8,0.6,0.51,0.68
Sys_IMF_ref_3,632,0.59,0.57,0.36,0.5
