source,class_id,alignment_norm,authenticity_norm,composite_product_classmean,composite_harmonic_classmean,vendi_ratio,vendi_ratio_train,composite_product_classmean_x_vendi_ratio,composite_product_classmean_x_vendi_ratio_train,composite_harmonic_classmean_x_vendi_ratio,composite_harmonic_classmean_x_vendi_ratio_train
Sys_VAR_ref_500_3,80,0.8,0.36,0.3,0.49,0.66,1.07,0.19,0.32,0.32,0.53
Sys_VAR_ref_500_3,97,0.72,0.69,0.52,0.67,1.46,0.87,0.75,0.45,0.99,0.58
Sys_VAR_ref_500_3,106,0.96,0.81,0.78,0.87,2.87,0.87,2.23,0.68,2.5,0.76
Sys_VAR_ref_500_3,116,0.96,0.78,0.75,0.85,0.39,0.65,0.29,0.49,0.33,0.55
Sys_VAR_ref_500_3,118,0.72,0.52,0.4,0.59,1.37,1.0,0.55,0.4,0.81,0.59
Sys_VAR_ref_500_3,129,0.82,0.32,0.26,0.46,0.73,1.12,0.19,0.29,0.33,0.51
Sys_VAR_ref_500_3,144,0.75,0.55,0.42,0.61,0.93,0.83,0.39,0.35,0.57,0.51
Sys_VAR_ref_500_3,147,0.96,0.66,0.63,0.77,0.77,0.69,0.49,0.44,0.6,0.54
Sys_VAR_ref_500_3,150,0.85,0.34,0.29,0.49,1.31,0.89,0.38,0.26,0.64,0.43
Sys_VAR_ref_500_3,156,0.89,0.45,0.41,0.59,0.55,0.94,0.23,0.39,0.32,0.55
Sys_VAR_ref_500_3,159,0.73,0.4,0.31,0.5,0.94,0.86,0.29,0.27,0.47,0.44
Sys_VAR_ref_500_3,281,0.88,0.3,0.26,0.44,1.78,1.02,0.47,0.27,0.79,0.45
Sys_VAR_ref_500_3,300,0.86,0.79,0.73,0.82,0.58,0.99,0.43,0.72,0.48,0.81
Sys_VAR_ref_500_3,322,0.95,0.77,0.73,0.84,0.9,1.0,0.65,0.73,0.76,0.84
Sys_VAR_ref_500_3,330,0.78,0.63,0.5,0.68,0.36,0.97,0.18,0.49,0.25,0.66
Sys_VAR_ref_500_3,333,0.7,0.44,0.34,0.52,0.82,0.75,0.28,0.26,0.43,0.39
Sys_VAR_ref_500_3,339,0.82,0.59,0.54,0.67,1.65,0.96,0.89,0.52,1.11,0.65
Sys_VAR_ref_500_3,347,0.83,0.75,0.65,0.78,0.5,0.81,0.33,0.53,0.39,0.63
Sys_VAR_ref_500_3,356,0.9,0.49,0.45,0.63,1.45,0.95,0.65,0.43,0.91,0.6
Sys_VAR_ref_500_3,365,0.88,0.39,0.34,0.52,0.86,0.81,0.29,0.28,0.44,0.42
Sys_VAR_ref_500_3,370,0.85,0.53,0.45,0.63,0.72,0.79,0.32,0.36,0.45,0.5
Sys_VAR_ref_500_3,389,0.34,0.34,0.12,0.34,2.04,0.83,0.25,0.1,0.69,0.28
