source,class_id,alignment_norm,artifact_norm,composite_product_classmean,composite_harmonic_classmean,vendi_ratio,vendi_ratio_train,composite_product_classmean_x_vendi_ratio,composite_product_classmean_x_vendi_ratio_train,composite_harmonic_classmean_x_vendi_ratio,composite_harmonic_classmean_x_vendi_ratio_train
Sys_RAEv2_ref,443,0.97,0.75,0.73,0.83,0.24,0.73,0.17,0.53,0.2,0.6
Sys_RAEv2_ref,446,0.88,0.51,0.46,0.63,1.46,0.98,0.67,0.45,0.92,0.62
Sys_RAEv2_ref,453,0.91,0.57,0.52,0.7,0.59,0.82,0.31,0.43,0.41,0.57
Sys_RAEv2_ref,461,0.52,0.65,0.42,0.54,0.49,0.86,0.2,0.36,0.26,0.47
Sys_RAEv2_ref,477,0.79,0.61,0.49,0.68,3.27,1.05,1.61,0.52,2.21,0.71
Sys_RAEv2_ref,479,0.88,0.74,0.66,0.79,0.53,0.82,0.35,0.55,0.42,0.65
Sys_RAEv2_ref,481,0.69,0.6,0.48,0.63,0.49,0.83,0.24,0.4,0.31,0.53
Sys_RAEv2_ref,488,0.87,0.74,0.67,0.79,1.18,1.13,0.79,0.76,0.94,0.9
Sys_RAEv2_ref,499,0.91,0.49,0.44,0.61,1.23,1.03,0.54,0.45,0.75,0.63
Sys_RAEv2_ref,529,0.85,0.68,0.61,0.75,3.36,0.82,2.05,0.5,2.53,0.62
Sys_RAEv2_ref,535,0.82,0.71,0.62,0.75,0.53,1.02,0.32,0.63,0.4,0.77
Sys_RAEv2_ref,554,0.96,0.54,0.51,0.67,1.36,1.04,0.7,0.53,0.91,0.69
Sys_RAEv2_ref,567,0.76,0.75,0.58,0.75,4.71,1.14,2.75,0.67,3.54,0.86
Sys_RAEv2_ref,575,0.76,0.53,0.43,0.57,0.68,0.71,0.29,0.31,0.39,0.41
Sys_RAEv2_ref,585,0.82,0.5,0.42,0.61,1.29,0.96,0.54,0.4,0.78,0.58
Sys_RAEv2_ref,590,0.56,0.43,0.25,0.46,1.19,0.99,0.3,0.25,0.55,0.46
Sys_RAEv2_ref,605,0.72,0.51,0.4,0.6,4.06,0.9,1.61,0.36,2.42,0.53
Sys_RAEv2_ref,606,0.88,0.67,0.6,0.76,1.04,0.83,0.63,0.5,0.79,0.63
Sys_RAEv2_ref,626,0.93,0.64,0.59,0.73,3.24,1.04,1.91,0.61,2.37,0.76
Sys_RAEv2_ref,632,0.61,0.54,0.38,0.53,0.87,0.82,0.33,0.31,0.46,0.43
Sys_RAEv2_ref,633,0.59,0.62,0.35,0.48,1.18,1.16,0.42,0.41,0.57,0.56
Sys_RAEv2_ref,634,0.84,0.65,0.55,0.73,0.55,0.9,0.3,0.5,0.4,0.66
Sys_RAEv2_ref,645,0.85,0.39,0.34,0.52,0.58,0.95,0.2,0.33,0.3,0.49
