source,class_id,alignment_norm,authenticity_norm,composite_product_classmean,composite_harmonic_classmean
User_VAR_400_2,156,1.0,0.55,0.55,0.7
User_VAR_400_2,159,0.78,0.5,0.4,0.57
User_VAR_400_2,281,1.0,0.7,0.7,0.82
User_VAR_400_2,300,0.75,0.75,0.7,0.72
User_VAR_400_2,322,0.79,0.85,0.67,0.77
User_VAR_400_2,330,0.93,0.9,0.84,0.91
User_VAR_400_2,333,0.81,0.55,0.47,0.64
User_VAR_400_2,339,0.69,0.55,0.45,0.59
User_VAR_400_2,347,0.92,0.7,0.65,0.78
User_VAR_400_2,356,0.94,0.8,0.75,0.86
User_VAR_400_2,365,0.83,0.55,0.46,0.65
User_VAR_400_2,370,1.0,0.6,0.6,0.74
User_VAR_400_2,389,0.28,0.5,0.13,0.34
User_VAR_400_2,392,0.79,0.55,0.45,0.64
User_VAR_400_2,394,0.94,0.6,0.59,0.69
User_VAR_400_2,396,0.89,0.65,0.59,0.75
User_VAR_400_2,400,0.91,0.65,0.61,0.75
User_VAR_400_2,405,0.51,0.6,0.33,0.54
User_VAR_400_2,406,0.88,0.65,0.59,0.74
