source,class_id,alignment_norm,artifact_norm,composite_product,composite_harmonic
User_JiTfdloss_1,922,0.54,0.36,0.17,0.33
User_JiTfdloss_1,928,0.84,0.68,0.59,0.74
User_JiTfdloss_1,931,1.0,0.76,0.76,0.86
User_JiTfdloss_1,943,0.7,0.56,0.45,0.59
User_JiTfdloss_1,952,1.0,0.84,0.84,0.91
User_JiTfdloss_1,960,1.0,0.56,0.56,0.71
User_JiTfdloss_1,962,1.0,0.64,0.64,0.77
User_JiTfdloss_1,968,0.94,0.84,0.79,0.88
User_JiTfdloss_1,971,0.98,0.8,0.78,0.88
User_JiTfdloss_1,972,0.93,0.72,0.69,0.81
User_JiTfdloss_1,981,0.73,0.4,0.29,0.51
User_JiTfdloss_1,982,0.6,0.32,0.2,0.33
User_JiTfdloss_1,983,0.79,0.48,0.39,0.6
User_JiTfdloss_1,985,0.76,0.84,0.65,0.79
User_JiTfdloss_1,991,0.87,0.84,0.74,0.85
User_JiTfdloss_1,999,0.81,0.48,0.44,0.58
User_JiTfdloss_2,4,1.0,0.72,0.72,0.83
User_JiTfdloss_2,7,0.87,0.64,0.56,0.73
User_JiTfdloss_2,10,0.83,0.8,0.67,0.81
User_JiTfdloss_2,25,1.0,0.8,0.8,0.88
User_JiTfdloss_2,35,0.86,0.64,0.58,0.73
User_JiTfdloss_2,39,0.9,0.72,0.67,0.78
User_JiTfdloss_2,49,0.98,0.68,0.67,0.79
User_JiTfdloss_2,51,0.71,0.76,0.59,0.71
User_JiTfdloss_2,52,0.81,0.72,0.57,0.72
User_JiTfdloss_2,64,0.87,0.6,0.55,0.7
User_JiTfdloss_2,80,0.8,0.56,0.48,0.6
User_JiTfdloss_2,97,1.0,0.88,0.88,0.93
User_JiTfdloss_2,106,1.0,0.68,0.68,0.78
